drugName,condition,review,rating,usefulCount
Amoxicillin,Insomnia,Doctor prescribed this for Insomnia and it actually helped :),9,42
Paracetamol,,I feel much better now after using this medicine for Asthma.,8,39
Gabapentin,GERD,<p>This medication improved my GERD a lot</p>,9,68
Lisinopril,Asthma,<div>Side effects were bad when I used this for Asthma</div>,4,26
Azithromycin,Infection,I feel much better now after using this medicine for Infection.,9,19
Ciprofloxacin,Acne,,7,20
Amoxicillin,Allergy,Waste of money for Allergy treatment...,6,57
Ciprofloxacin,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,2,67
Omeprazole,Insomnia,not effective for my Insomnia :(,2,61
Lisinopril,Depression,Waste of money for Depression treatment...,2,70
Fluoxetine,Migraine,THIS DRUG worked GREAT for my Migraine!!!,9,7
Sertraline,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,2,98
Ciprofloxacin,Hypertension,Waste of money for Hypertension treatment...,6,10
Ibuprofen,GERD,not effective for my GERD :(,6,75
Sertraline,Acne,<p>This medication improved my Acne a lot</p>,9,26
Doxycycline,Arthritis,Waste of money for Arthritis treatment...,1,30
Fluoxetine,Anxiety,,7,13
Ibuprofen,Allergy,not effective for my Allergy :(,6,53
Metformin,Insomnia,"good results for Insomnia, will continue using.",9,67
Fluoxetine,Asthma,Doctor prescribed this for Asthma and it actually helped :),10,10
Ibuprofen,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,3,90
Doxycycline,Depression,<div>Side effects were bad when I used this for Depression</div>,6,69
Prednisone,Hypertension,Waste of money for Hypertension treatment...,4,49
Gabapentin,Insomnia,not effective for my Insomnia :(,1,80
Fluoxetine,,Waste of money for Anxiety treatment...,5,16
Doxycycline,Acne,I had headaches & nausea while taking this for Acne.,5,57
Fluoxetine,Diabetes,"good results for Diabetes, will continue using.",8,42
Fluoxetine,Arthritis,Terrible experience!! didn't help my Arthritis at all.,3,75
Sertraline,Insomnia,not effective for my Insomnia :(,2,48
Sertraline,Acne,THIS DRUG worked GREAT for my Acne!!!,10,86
Fluoxetine,Allergy,Doctor prescribed this for Allergy and it actually helped :),7,42
Azithromycin,GERD,Terrible experience!! didn't help my GERD at all.,5,50
Metformin,Hypertension,I feel much better now after using this medicine for Hypertension.,8,34
Doxycycline,Back Pain,<p>This medication improved my Back Pain a lot</p>,8,98
Gabapentin,Infection,<div>Side effects were bad when I used this for Infection</div>,2,64
Amoxicillin,Hypertension,not effective for my Hypertension :(,4,35
Prednisone,GERD,Terrible experience!! didn't help my GERD at all.,4,76
Gabapentin,Depression,,8,89
Sertraline,Diabetes,THIS DRUG worked GREAT for my Diabetes!!!,10,56
Prednisone,GERD,Waste of money for GERD treatment...,1,40
Gabapentin,Depression,I had headaches & nausea while taking this for Depression.,2,72
Gabapentin,Diabetes,Terrible experience!! didn't help my Diabetes at all.,5,33
Fluoxetine,Back Pain,not effective for my Back Pain :(,6,58
Paracetamol,Depression,I feel much better now after using this medicine for Depression.,8,37
Fluoxetine,Arthritis,Terrible experience!! didn't help my Arthritis at all.,6,71
Prednisone,Anxiety,<p>This medication improved my Anxiety a lot</p>,8,28
Lisinopril,Diabetes,<p>This medication improved my Diabetes a lot</p>,10,27
Doxycycline,GERD,"good results for GERD, will continue using.",8,82
Fluoxetine,Anxiety,Waste of money for Anxiety treatment...,2,77
Lisinopril,Acne,I had headaches & nausea while taking this for Acne.,3,26
Ciprofloxacin,Acne,Waste of money for Acne treatment...,5,31
Fluoxetine,Insomnia,not effective for my Insomnia :(,3,54
Prednisone,Insomnia,"good results for Insomnia, will continue using.",8,29
Ibuprofen,Arthritis,<p>This medication improved my Arthritis a lot</p>,7,92
Atorvastatin,Migraine,Waste of money for Migraine treatment...,1,84
Atorvastatin,GERD,I feel much better now after using this medicine for GERD.,8,83
Sertraline,Infection,THIS DRUG worked GREAT for my Infection!!!,8,70
Doxycycline,Acne,<p>This medication improved my Acne a lot</p>,8,33
Prednisone,Anxiety,<p>This medication improved my Anxiety a lot</p>,10,83
Fluoxetine,Diabetes,"good results for Diabetes, will continue using.",8,38
Metformin,Anxiety,Waste of money for Anxiety treatment...,2,1
Metformin,Migraine,Terrible experience!! didn't help my Migraine at all.,2,64
Atorvastatin,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,5,93
Paracetamol,GERD,"good results for GERD, will continue using.",10,40
Omeprazole,Arthritis,I feel much better now after using this medicine for Arthritis.,7,29
Sertraline,Migraine,THIS DRUG worked GREAT for my Migraine!!!,8,9
Ciprofloxacin,Depression,Doctor prescribed this for Depression and it actually helped :),7,50
Ibuprofen,Anxiety,not effective for my Anxiety :(,5,43
Omeprazole,Asthma,"good results for Asthma, will continue using.",8,54
Paracetamol,,<p>This medication improved my Migraine a lot</p>,7,16
Prednisone,Anxiety,<p>This medication improved my Anxiety a lot</p>,10,79
Doxycycline,Allergy,I had headaches & nausea while taking this for Allergy.,5,25
Metformin,Back Pain,I had headaches & nausea while taking this for Back Pain.,4,4
Doxycycline,Allergy,<div>Side effects were bad when I used this for Allergy</div>,5,72
Lisinopril,Diabetes,,7,60
Prednisone,Depression,<p>This medication improved my Depression a lot</p>,8,67
Atorvastatin,Depression,not effective for my Depression :(,3,59
Paracetamol,Depression,THIS DRUG worked GREAT for my Depression!!!,9,79
Ibuprofen,Infection,Terrible experience!! didn't help my Infection at all.,3,33
Azithromycin,GERD,Waste of money for GERD treatment...,3,44
Metformin,Insomnia,not effective for my Insomnia :(,5,1
Prednisone,Arthritis,I had headaches & nausea while taking this for Arthritis.,2,97
Azithromycin,Migraine,I feel much better now after using this medicine for Migraine.,8,24
Ibuprofen,GERD,Terrible experience!! didn't help my GERD at all.,3,87
Lisinopril,Asthma,Doctor prescribed this for Asthma and it actually helped :),7,58
Fluoxetine,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),10,50
Paracetamol,Insomnia,not effective for my Insomnia :(,3,21
Gabapentin,Insomnia,I feel much better now after using this medicine for Insomnia.,10,98
Fluoxetine,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),7,100
Paracetamol,Depression,<div>Side effects were bad when I used this for Depression</div>,5,81
Atorvastatin,Allergy,<p>This medication improved my Allergy a lot</p>,8,54
Ibuprofen,Asthma,<div>Side effects were bad when I used this for Asthma</div>,4,11
Atorvastatin,Depression,Waste of money for Depression treatment...,4,33
Amlodipine,GERD,Waste of money for GERD treatment...,4,22
Doxycycline,Asthma,<div>Side effects were bad when I used this for Asthma</div>,5,88
Metformin,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,4,67
Doxycycline,Allergy,Waste of money for Allergy treatment...,3,5
Azithromycin,GERD,,8,65
Amlodipine,Allergy,<div>Side effects were bad when I used this for Allergy</div>,4,75
Gabapentin,Depression,I feel much better now after using this medicine for Depression.,7,67
Atorvastatin,Diabetes,I feel much better now after using this medicine for Diabetes.,7,87
Amlodipine,Allergy,Doctor prescribed this for Allergy and it actually helped :),7,27
Prednisone,Hypertension,<div>Side effects were bad when I used this for Hypertension</div>,2,96
Sertraline,Infection,Waste of money for Infection treatment...,5,77
Ciprofloxacin,Allergy,I feel much better now after using this medicine for Allergy.,9,89
Prednisone,Anxiety,Doctor prescribed this for Anxiety and it actually helped :),7,94
Doxycycline,Arthritis,,9,66
Omeprazole,Insomnia,<p>This medication improved my Insomnia a lot</p>,9,18
Prednisone,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,6,58
Fluoxetine,Migraine,Waste of money for Migraine treatment...,2,50
Atorvastatin,Arthritis,I feel much better now after using this medicine for Arthritis.,8,27
Paracetamol,GERD,not effective for my GERD :(,5,33
Omeprazole,Asthma,Doctor prescribed this for Asthma and it actually helped :),8,28
Amlodipine,Infection,Terrible experience!! didn't help my Infection at all.,2,56
Gabapentin,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),9,56
Metformin,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),10,42
Prednisone,Anxiety,THIS DRUG worked GREAT for my Anxiety!!!,8,99
Sertraline,GERD,THIS DRUG worked GREAT for my GERD!!!,7,62
Amlodipine,,<p>This medication improved my GERD a lot</p>,9,52
Doxycycline,Allergy,,10,63
Azithromycin,Arthritis,<p>This medication improved my Arthritis a lot</p>,7,42
Sertraline,GERD,THIS DRUG worked GREAT for my GERD!!!,9,57
Gabapentin,Arthritis,Doctor prescribed this for Arthritis and it actually helped :),10,35
Azithromycin,Diabetes,I feel much better now after using this medicine for Diabetes.,9,7
Doxycycline,Asthma,THIS DRUG worked GREAT for my Asthma!!!,7,83
Doxycycline,Allergy,<div>Side effects were bad when I used this for Allergy</div>,6,64
Paracetamol,Infection,THIS DRUG worked GREAT for my Infection!!!,10,96
Fluoxetine,Arthritis,Terrible experience!! didn't help my Arthritis at all.,4,43
Lisinopril,Infection,THIS DRUG worked GREAT for my Infection!!!,10,70
Ibuprofen,Back Pain,Terrible experience!! didn't help my Back Pain at all.,6,5
Amoxicillin,Asthma,Doctor prescribed this for Asthma and it actually helped :),9,77
Paracetamol,Insomnia,,5,96
Ciprofloxacin,Infection,Terrible experience!! didn't help my Infection at all.,2,90
Atorvastatin,Back Pain,I had headaches & nausea while taking this for Back Pain.,2,9
Ibuprofen,Asthma,"good results for Asthma, will continue using.",8,94
Fluoxetine,Migraine,<div>Side effects were bad when I used this for Migraine</div>,4,3
Sertraline,Migraine,<div>Side effects were bad when I used this for Migraine</div>,5,41
Amoxicillin,Acne,Doctor prescribed this for Acne and it actually helped :),8,46
Omeprazole,Allergy,not effective for my Allergy :(,3,93
Lisinopril,Depression,not effective for my Depression :(,5,60
Doxycycline,Acne,THIS DRUG worked GREAT for my Acne!!!,9,97
Sertraline,GERD,Terrible experience!! didn't help my GERD at all.,1,78
Ciprofloxacin,GERD,I feel much better now after using this medicine for GERD.,8,18
Prednisone,Diabetes,I had headaches & nausea while taking this for Diabetes.,1,26
Prednisone,Arthritis,,10,76
Paracetamol,Acne,THIS DRUG worked GREAT for my Acne!!!,10,13
Azithromycin,,<div>Side effects were bad when I used this for Arthritis</div>,6,16
Prednisone,Back Pain,not effective for my Back Pain :(,6,68
Doxycycline,Depression,"good results for Depression, will continue using.",7,55
Doxycycline,Insomnia,"good results for Insomnia, will continue using.",10,64
Gabapentin,Hypertension,,10,2
Lisinopril,Depression,Waste of money for Depression treatment...,4,85
Lisinopril,Depression,<div>Side effects were bad when I used this for Depression</div>,6,49
Prednisone,Allergy,Terrible experience!! didn't help my Allergy at all.,4,9
Fluoxetine,Acne,I had headaches & nausea while taking this for Acne.,2,32
Omeprazole,Migraine,<div>Side effects were bad when I used this for Migraine</div>,2,56
Ibuprofen,Back Pain,I had headaches & nausea while taking this for Back Pain.,4,94
Prednisone,Migraine,"good results for Migraine, will continue using.",7,37
Ibuprofen,Hypertension,Waste of money for Hypertension treatment...,5,4
Ciprofloxacin,Insomnia,I had headaches & nausea while taking this for Insomnia.,6,48
Fluoxetine,Depression,"good results for Depression, will continue using.",8,82
Omeprazole,Depression,I feel much better now after using this medicine for Depression.,9,40
Sertraline,Migraine,Doctor prescribed this for Migraine and it actually helped :),7,5
Azithromycin,Allergy,THIS DRUG worked GREAT for my Allergy!!!,10,71
Fluoxetine,Insomnia,,6,38
Paracetamol,Migraine,"good results for Migraine, will continue using.",10,10
Atorvastatin,Insomnia,I feel much better now after using this medicine for Insomnia.,9,30
Ibuprofen,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,3,11
Sertraline,Asthma,"good results for Asthma, will continue using.",7,36
Lisinopril,Infection,Terrible experience!! didn't help my Infection at all.,2,27
Azithromycin,Asthma,Doctor prescribed this for Asthma and it actually helped :),9,62
Paracetamol,GERD,I had headaches & nausea while taking this for GERD.,6,69
Amlodipine,Back Pain,not effective for my Back Pain :(,5,91
Amoxicillin,Depression,<p>This medication improved my Depression a lot</p>,8,62
Omeprazole,Infection,<p>This medication improved my Infection a lot</p>,9,82
Amoxicillin,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,7,39
Metformin,Allergy,I feel much better now after using this medicine for Allergy.,8,99
Ibuprofen,,THIS DRUG worked GREAT for my Diabetes!!!,7,59
Ciprofloxacin,Depression,Terrible experience!! didn't help my Depression at all.,1,38
Sertraline,Diabetes,Terrible experience!! didn't help my Diabetes at all.,4,22
Amlodipine,GERD,,8,88
Amoxicillin,Acne,<p>This medication improved my Acne a lot</p>,10,30
Doxycycline,Diabetes,Terrible experience!! didn't help my Diabetes at all.,5,56
Ciprofloxacin,GERD,THIS DRUG worked GREAT for my GERD!!!,9,6
Ciprofloxacin,Migraine,,1,57
Lisinopril,Infection,<p>This medication improved my Infection a lot</p>,9,20
Ibuprofen,Acne,,8,92
Paracetamol,Back Pain,I feel much better now after using this medicine for Back Pain.,10,75
Ibuprofen,Asthma,I feel much better now after using this medicine for Asthma.,7,93
Ciprofloxacin,Depression,I feel much better now after using this medicine for Depression.,10,39
Prednisone,Insomnia,I feel much better now after using this medicine for Insomnia.,10,68
Paracetamol,Arthritis,I feel much better now after using this medicine for Arthritis.,7,56
Metformin,Hypertension,not effective for my Hypertension :(,2,61
Doxycycline,Insomnia,I feel much better now after using this medicine for Insomnia.,10,82
Metformin,Diabetes,"good results for Diabetes, will continue using.",7,71
Ciprofloxacin,Depression,<p>This medication improved my Depression a lot</p>,7,72
Amoxicillin,Allergy,I had headaches & nausea while taking this for Allergy.,1,88
Ciprofloxacin,Insomnia,Terrible experience!! didn't help my Insomnia at all.,2,78
Gabapentin,Insomnia,I feel much better now after using this medicine for Insomnia.,7,77
Prednisone,Allergy,<div>Side effects were bad when I used this for Allergy</div>,4,20
Lisinopril,Depression,<p>This medication improved my Depression a lot</p>,10,19
Sertraline,Allergy,"good results for Allergy, will continue using.",7,78
Sertraline,Infection,Terrible experience!! didn't help my Infection at all.,1,97
Doxycycline,Diabetes,<p>This medication improved my Diabetes a lot</p>,9,79
Fluoxetine,Hypertension,I feel much better now after using this medicine for Hypertension.,8,69
Metformin,Hypertension,Terrible experience!! didn't help my Hypertension at all.,1,7
Metformin,Back Pain,THIS DRUG worked GREAT for my Back Pain!!!,10,0
Doxycycline,Migraine,<p>This medication improved my Migraine a lot</p>,7,42
Lisinopril,Anxiety,"good results for Anxiety, will continue using.",10,95
Atorvastatin,Depression,Doctor prescribed this for Depression and it actually helped :),9,75
Metformin,Hypertension,Terrible experience!! didn't help my Hypertension at all.,2,34
Paracetamol,GERD,<div>Side effects were bad when I used this for GERD</div>,6,72
Omeprazole,Back Pain,"good results for Back Pain, will continue using.",7,91
Metformin,Back Pain,,2,25
Amlodipine,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,9,45
Doxycycline,Back Pain,"good results for Back Pain, will continue using.",9,67
Azithromycin,Depression,I feel much better now after using this medicine for Depression.,8,81
Ibuprofen,Acne,Waste of money for Acne treatment...,5,94
Fluoxetine,Migraine,Waste of money for Migraine treatment...,2,16
Amlodipine,Acne,Terrible experience!! didn't help my Acne at all.,3,20
Ibuprofen,Migraine,I feel much better now after using this medicine for Migraine.,8,4
Metformin,Hypertension,Terrible experience!! didn't help my Hypertension at all.,4,11
Fluoxetine,Allergy,I feel much better now after using this medicine for Allergy.,9,49
Paracetamol,Arthritis,<p>This medication improved my Arthritis a lot</p>,7,54
Metformin,Asthma,Terrible experience!! didn't help my Asthma at all.,2,15
Doxycycline,Anxiety,"good results for Anxiety, will continue using.",10,66
Prednisone,Acne,<div>Side effects were bad when I used this for Acne</div>,4,100
Prednisone,Diabetes,"good results for Diabetes, will continue using.",7,16
Doxycycline,Arthritis,not effective for my Arthritis :(,2,22
Atorvastatin,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,9,0
Azithromycin,Acne,Terrible experience!! didn't help my Acne at all.,1,92
Ibuprofen,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,3,71
Amoxicillin,Migraine,<div>Side effects were bad when I used this for Migraine</div>,6,88
Atorvastatin,Diabetes,not effective for my Diabetes :(,1,85
Omeprazole,Allergy,Waste of money for Allergy treatment...,4,27
Paracetamol,Hypertension,<p>This medication improved my Hypertension a lot</p>,9,81
Ibuprofen,Acne,<div>Side effects were bad when I used this for Acne</div>,4,6
Ibuprofen,Insomnia,Waste of money for Insomnia treatment...,3,87
Amoxicillin,,I feel much better now after using this medicine for Anxiety.,10,85
Gabapentin,Back Pain,Waste of money for Back Pain treatment...,2,85
Atorvastatin,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),7,52
Atorvastatin,Depression,I had headaches & nausea while taking this for Depression.,2,85
Prednisone,,Terrible experience!! didn't help my Back Pain at all.,3,29
Atorvastatin,Arthritis,Waste of money for Arthritis treatment...,4,58
Paracetamol,GERD,Waste of money for GERD treatment...,3,36
Doxycycline,Depression,"good results for Depression, will continue using.",10,76
Ciprofloxacin,Insomnia,"good results for Insomnia, will continue using.",10,20
Ibuprofen,Diabetes,not effective for my Diabetes :(,6,98
Gabapentin,Infection,,8,73
Lisinopril,GERD,I had headaches & nausea while taking this for GERD.,1,71
Atorvastatin,Arthritis,Waste of money for Arthritis treatment...,4,22
Doxycycline,GERD,Waste of money for GERD treatment...,4,73
Lisinopril,GERD,Terrible experience!! didn't help my GERD at all.,5,21
Sertraline,Back Pain,<p>This medication improved my Back Pain a lot</p>,10,23
Sertraline,Allergy,I had headaches & nausea while taking this for Allergy.,1,72
Amoxicillin,Asthma,THIS DRUG worked GREAT for my Asthma!!!,8,72
Atorvastatin,,I had headaches & nausea while taking this for Allergy.,2,38
Amoxicillin,Infection,"good results for Infection, will continue using.",8,37
Lisinopril,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),8,30
Ciprofloxacin,Diabetes,,6,90
Azithromycin,Depression,<div>Side effects were bad when I used this for Depression</div>,2,86
Ibuprofen,Infection,I feel much better now after using this medicine for Infection.,8,68
Ciprofloxacin,Depression,"good results for Depression, will continue using.",7,97
Ciprofloxacin,Back Pain,not effective for my Back Pain :(,5,33
Amoxicillin,Asthma,Terrible experience!! didn't help my Asthma at all.,2,62
Lisinopril,Anxiety,Doctor prescribed this for Anxiety and it actually helped :),10,34
Paracetamol,Back Pain,not effective for my Back Pain :(,5,78
Amoxicillin,Anxiety,not effective for my Anxiety :(,1,28
Amoxicillin,Migraine,"good results for Migraine, will continue using.",7,46
Gabapentin,Asthma,THIS DRUG worked GREAT for my Asthma!!!,8,93
Gabapentin,Infection,not effective for my Infection :(,3,39
Omeprazole,Asthma,THIS DRUG worked GREAT for my Asthma!!!,9,99
Ibuprofen,Anxiety,"good results for Anxiety, will continue using.",9,57
Ibuprofen,Allergy,<div>Side effects were bad when I used this for Allergy</div>,2,65
Amoxicillin,GERD,,8,73
Omeprazole,Infection,"good results for Infection, will continue using.",7,92
Amoxicillin,Anxiety,I had headaches & nausea while taking this for Anxiety.,3,33
Amoxicillin,Acne,I had headaches & nausea while taking this for Acne.,3,79
Metformin,Asthma,Terrible experience!! didn't help my Asthma at all.,2,88
Sertraline,Insomnia,Doctor prescribed this for Insomnia and it actually helped :),10,69
Azithromycin,Infection,THIS DRUG worked GREAT for my Infection!!!,8,39
Paracetamol,Asthma,<div>Side effects were bad when I used this for Asthma</div>,2,59
Ciprofloxacin,Back Pain,Terrible experience!! didn't help my Back Pain at all.,5,69
Paracetamol,Asthma,THIS DRUG worked GREAT for my Asthma!!!,9,96
Metformin,GERD,THIS DRUG worked GREAT for my GERD!!!,10,62
Omeprazole,,I had headaches & nausea while taking this for Arthritis.,3,18
Prednisone,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),7,59
Azithromycin,Depression,<div>Side effects were bad when I used this for Depression</div>,6,14
Sertraline,Diabetes,<p>This medication improved my Diabetes a lot</p>,7,97
Paracetamol,Allergy,Doctor prescribed this for Allergy and it actually helped :),9,96
Doxycycline,,THIS DRUG worked GREAT for my Infection!!!,7,59
Ciprofloxacin,Diabetes,<p>This medication improved my Diabetes a lot</p>,9,95
Omeprazole,Diabetes,Terrible experience!! didn't help my Diabetes at all.,5,80
Ibuprofen,,"good results for Allergy, will continue using.",7,18
Ciprofloxacin,Back Pain,not effective for my Back Pain :(,2,10
Omeprazole,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,2,15
